"affix","type","harmony","meaning_kz","meaning_ru","rule","pos_compatibility","example_kz","example_ru","rule_explanation_kz","meaning_en"
"лар","plural","back","көптік жалғау","множественное число","after_vowel","n","бала+лар=балалар","дети","Дауысты және үнді дыбыстардан кейін","plural"
"лер","plural","front","көптік жалғау","множественное число","after_vowel","n","әже+лер=әжелер","бабушки","Дауысты және үнді дыбыстардан кейін","plural"
"дар","plural","back","көптік жалғау","множественное число","after_voiced_consonant","n","аға+дар=ағалар","старшие братья","Ұяң дауыссыздардан кейін","plural"
"дер","plural","front","көптік жалғау","множественное число","after_voiced_consonant","n","көл+дер=көлдер","озера","Ұяң дауыссыздардан кейін","plural"
"тар","plural","back","көптік жалғау","множественное число","after_unvoiced_consonant","n","мектеп+тар=мектептер","школы","Қатаң дауыссыздардан кейін","plural"
"тер","plural","front","көптік жалғау","множественное число","after_unvoiced_consonant","n","сөз+тер=сөздер","слова","Қатаң дауыссыздардан кейін","plural"
"дың","genitive","back","ілік септік","родительный падеж","after_voiced_consonant","n","бала+дың=баланың","ребенка","Үнді және ұяң дауыссыздардан кейін","genitive case"
"дің","genitive","front","ілік септік","родительный падеж","after_voiced_consonant","n","көл+дің=көлдің","озера","Үнді және ұяң дауыссыздардан кейін","genitive case"
"тың","genitive","back","ілік септік","родительный падеж","after_unvoiced_consonant","n","мектеп+тың=мектептің","школы","Қатаң дауыссыздардан кейін","genitive case"
"тің","genitive","front","ілік септік","родительный падеж","after_unvoiced_consonant","n","сөз+тің=сөздің","слова","Қатаң дауыссыздардан кейін","genitive case"
"ның","genitive","back","ілік септік","родительный падеж","after_vowel","n","ата+ның=атаның","отца","Дауысты дыбыстан кейін","genitive case"
"нің","genitive","front","ілік септік","родительный падеж","after_vowel","n","әже+нің=әженің","бабушки","Дауысты дыбыстан кейін","genitive case"
"ға","dative","back","барыс септік","дательный падеж","after_vowel","n","ата+ға=атаға","отцу","Дауысты дыбыстан кейін","dative case"
"ге","dative","front","барыс септік","дательный падеж","after_vowel","n","әже+ге=әжеге","бабушке","Дауысты дыбыстан кейін","dative case"
"ға","dative","back","барыс септік","дательный падеж","after_voiced_consonant","n","бала+ға=балаға","ребенку","Үнді және ұяң дауыссыздардан кейін","dative case"
"ге","dative","front","барыс септік","дательный падеж","after_voiced_consonant","n","көл+ге=көлге","озеру","Үнді және ұяң дауыссыздардан кейін","dative case"
"қа","dative","back","барыс септік","дательный падеж","after_unvoiced_consonant","n","мектеп+қа=мектепке","школе","Қатаң дауыссыздардан кейін","dative case"
"ке","dative","front","барыс септік","дательный падеж","after_unvoiced_consonant","n","сөз+ке=сөзге","слову","Қатаң дауыссыздардан кейін","dative case"
"ны","accusative","back","табыс септік","винительный падеж","after_vowel","n","ата+ны=атаны","отца","Дауысты дыбыстан кейін","accusative case"
"ні","accusative","front","табыс септік","винительный падеж","after_vowel","n","әже+ні=әжені","бабушку","Дауысты дыбыстан кейін","accusative case"
"ды","accusative","back","табыс септік","винительный падеж","after_voiced_consonant","n","бала+ды=баланы","ребенка","Үнді және ұяң дауыссыздардан кейін","accusative case"
"ді","accusative","front","табыс септік","винительный падеж","after_voiced_consonant","n","көл+ді=көлді","озеро","Үнді және ұяң дауыссыздардан кейін","accusative case"
"ты","accusative","back","табыс септік","винительный падеж","after_unvoiced_consonant","n","мектеп+ты=мектепті","школу","Қатаң дауыссыздардан кейін","accusative case"
"ті","accusative","front","табыс септік","винительный падеж","after_unvoiced_consonant","n","сөз+ті=сөзді","слово","Қатаң дауыссыздардан кейін","accusative case"
"да","locative","back","жатыс септік","местный падеж","after_vowel","n","ата+да=атада","у отца","Дауысты дыбыстан кейін","locative case"
"де","locative","front","жатыс септік","местный падеж","after_vowel","n","әже+де=әжеде","у бабушки","Дауысты дыбыстан кейін","locative case"
"да","locative","back","жатыс септік","местный падеж","after_voiced_consonant","n","бала+да=балада","у ребенка","Үнді және ұяң дауыссыздардан кейін","locative case"
"де","locative","front","жатыс септік","местный падеж","after_voiced_consonant","n","көл+де=көлде","на озере","Үнді және ұяң дауыссыздардан кейін","locative case"
"та","locative","back","жатыс септік","местный падеж","after_unvoiced_consonant","n","мектеп+та=мектепте","в школе","Қатаң дауыссыздардан кейін","locative case"
"те","locative","front","жатыс септік","местный падеж","after_unvoiced_consonant","n","сөз+те=сөзде","в слове","Қатаң дауыссыздардан кейін","locative case"
"нан","ablative","back","шығыс септік","исходный падеж","after_vowel","n","ата+нан=атадан","от отца","Дауысты дыбыстан кейін","ablative case"
"нен","ablative","front","шығыс септік","исходный падеж","after_vowel","n","әже+нен=әжеден","от бабушки","Дауысты дыбыстан кейін","ablative case"
"дан","ablative","back","шығыс септік","исходный падеж","after_voiced_consonant","n","бала+дан=баладан","от ребенка","Үнді және ұяң дауыссыздардан кейін","ablative case"
"ден","ablative","front","шығыс септік","исходный падеж","after_voiced_consonant","n","көл+ден=көлден","из озера","Үнді және ұяң дауыссыздардан кейін","ablative case"
"тан","ablative","back","шығыс септік","исходный падеж","after_unvoiced_consonant","n","мектеп+тан=мектептен","из школы","Қатаң дауыссыздардан кейін","ablative case"
"тен","ablative","front","шығыс септік","исходный падеж","after_unvoiced_consonant","n","сөз+тен=сөзден","из слова","Қатаң дауыссыздардан кейін","ablative case"
"мен","instrumental","back","көмектес септік","творительный падеж","after_vowel","n","ата+мен=атамен","с отцом","Дауысты дыбыстан кейін","instrumental case"
"мен","instrumental","front","көмектес септік","творительный падеж","after_vowel","n","әже+мен=әжемен","с бабушкой","Дауысты дыбыстан кейін","instrumental case"
"бен","instrumental","back","көмектес септік","творительный падеж","after_voiced_consonant","n","бала+бен=баламен","с ребенком","Үнді және ұяң дауыссыздардан кейін","instrumental case"
"бен","instrumental","front","көмектес септік","творительный падеж","after_voiced_consonant","n","көл+бен=көлмен","с озером","Үнді және ұяң дауыссыздардан кейін","instrumental case"
"пен","instrumental","back","көмектес септік","творительный падеж","after_unvoiced_consonant","n","мектеп+пен=мектеппен","со школой","Қатаң дауыссыздардан кейін","instrumental case"
"пен","instrumental","front","көмектес септік","творительный падеж","after_unvoiced_consonant","n","сөз+пен=сөзбен","со словом","Қатаң дауыссыздардан кейін","instrumental case"
"мын","copula_present1","back","1-жақ жекеше","я (наст.вр.)","after_vowel","both","жақсы+мын=жақсымын","я хороший","Дауысты дыбыстан кейін","я (наст.вр.)"
"мін","copula_present1","front","1-жақ жекеше","я (наст.вр.)","after_vowel","both","әдемі+мін=әдемімін","я красивая","Дауысты дыбыстан кейін","я (наст.вр.)"
"бын","copula_present1","back","1-жақ жекеше","я (наст.вр.)","after_voiced_consonant","both","дос+бын=доспын","я друг","Үнді және ұяң дауыссыздардан кейін","я (наст.вр.)"
"бін","copula_present1","front","1-жақ жекеше","я (наст.вр.)","after_voiced_consonant","both","көл+бін=көлмін","я озеро","Үнді және ұяң дауыссыздардан кейін","я (наст.вр.)"
"пын","copula_present1","back","1-жақ жекеше","я (наст.вр.)","after_unvoiced_consonant","both","мектеп+пын=мектеппін","я школа","Қатаң дауыссыздардан кейін","я (наст.вр.)"
"пін","copula_present1","front","1-жақ жекеше","я (наст.вр.)","after_unvoiced_consonant","both","сөз+пін=сөзпін","я слово","Қатаң дауыссыздардан кейін","я (наст.вр.)"
"сың","copula_present2","back","2-жақ жекеше","ты (наст.вр.)","after_vowel","both","жақсы+сың=жақсысың","ты хороший","Дауысты дыбыстан кейін","ты (наст.вр.)"
"сің","copula_present2","front","2-жақ жекеше","ты (наст.вр.)","after_vowel","both","әдемі+сің=әдемісің","ты красивая","Дауысты дыбыстан кейін","ты (наст.вр.)"
"сың","copula_present2","back","2-жақ жекеше","ты (наст.вр.)","after_voiced_consonant","both","дос+сың=доссың","ты друг","Үнді және ұяң дауыссыздардан кейін","ты (наст.вр.)"
"сің","copula_present2","front","2-жақ жекеше","ты (наст.вр.)","after_voiced_consonant","both","көл+сің=көлсің","ты озеро","Үнді және ұяң дауыссыздардан кейін","ты (наст.вр.)"
"сың","copula_present2","back","2-жақ жекеше","ты (наст.вр.)","after_unvoiced_consonant","both","мектеп+сың=мектепсің","ты школа","Қатаң дауыссыздардан кейін","ты (наст.вр.)"
"сің","copula_present2","front","2-жақ жекеше","ты (наст.вр.)","after_unvoiced_consonant","both","сөз+сің=сөзсің","ты слово","Қатаң дауыссыздардан кейін","ты (наст.вр.)"
"ды","copula_present3","back","3-жақ жекеше","он/она (наст.вр.)","after_vowel","both","жақсы+ды=жақсы","он хороший","3-жақта көбінесе жалғау түсіп қалады","он/она (наст.вр.)"
"ді","copula_present3","front","3-жақ жекеше","он/она (наст.вр.)","after_vowel","both","әдемі+ді=әдемі","она красивая","3-жақта көбінесе жалғау түсіп қалады","он/она (наст.вр.)"
"мыз","copula_present1p","back","1-жақ көпше","мы (наст.вр.)","after_vowel","both","жақсы+мыз=жақсымыз","мы хорошие","Дауысты дыбыстан кейін","мы (наст.вр.)"
"міз","copula_present1p","front","1-жақ көпше","мы (наст.вр.)","after_vowel","both","әдемі+міз=әдеміміз","мы красивые","Дауысты дыбыстан кейін","мы (наст.вр.)"
"быз","copula_present1p","back","1-жақ көпше","мы (наст.вр.)","after_voiced_consonant","both","дос+быз=доспыз","мы друзья","Үнді және ұяң дауыссыздардан кейін","мы (наст.вр.)"
"біз","copula_present1p","front","1-жақ көпше","мы (наст.вр.)","after_voiced_consonant","both","көл+біз=көлміз","мы озера","Үнді және ұяң дауыссыздардан кейін","мы (наст.вр.)"
"пыз","copula_present1p","back","1-жақ көпше","мы (наст.вр.)","after_unvoiced_consonant","both","мектеп+пыз=мектеппіз","мы школы","Қатаң дауыссыздардан кейін","мы (наст.вр.)"
"піз","copula_present1p","front","1-жақ көпше","мы (наст.вр.)","after_unvoiced_consonant","both","сөз+піз=сөзпіз","мы слова","Қатаң дауыссыздардан кейін","мы (наст.вр.)"
"сыңдар","copula_present2p","back","2-жақ көпше","вы (наст.вр.)","after_vowel","both","жақсы+сыңдар=жақсысыңдар","вы хорошие","Дауысты дыбыстан кейін","вы (наст.вр.)"
"сіңдер","copula_present2p","front","2-жақ көпше","вы (наст.вр.)","after_vowel","both","әдемі+сіңдер=әдемісіңдер","вы красивые","Дауысты дыбыстан кейін","вы (наст.вр.)"
"сыңдар","copula_present2p","back","2-жақ көпше","вы (наст.вр.)","after_voiced_consonant","both","дос+сыңдар=доссыңдар","вы друзья","Үнді және ұяң дауыссыздардан кейін","вы (наст.вр.)"
"сіңдер","copula_present2p","front","2-жақ көпше","вы (наст.вр.)","after_voiced_consonant","both","көл+сіңдер=көлсіңдер","вы озера","Үнді және ұяң дауыссыздардан кейін","вы (наст.вр.)"
"сыңдар","copula_present2p","back","2-жақ көпше","вы (наст.вр.)","after_unvoiced_consonant","both","мектеп+сыңдар=мектепсіңдер","вы школы","Қатаң дауыссыздардан кейін","вы (наст.вр.)"
"сіңдер","copula_present2p","front","2-жақ көпше","вы (наст.вр.)","after_unvoiced_consonant","both","сөз+сіңдер=сөзсіңдер","вы слова","Қатаң дауыссыздардан кейін","вы (наст.вр.)"
"а","interrogative","both","сұрақ белгісі","вопросительная частица","after_consonant","both","жақсы+а=жақсы ма?","хороший?","Сұрақ шылауы 'ма/ме/ба/бе/па/пе' түрінде","interrogative particle"
"е","interrogative","both","сұрақ белгісі","вопросительная частица","after_vowel","both","бала+е=бала ма?","ребенок?","Сұрақ шылауы 'ма/ме/ба/бе/па/пе' түрінде","interrogative particle"
"ма","interrogative","back","сұрақ белгісі","вопросительная частица","after_vowel","both","ата+ма=ата ма?","отец?","Дауысты дыбыстан кейін","interrogative particle"
"ме","interrogative","front","сұрақ белгісі","вопросительная частица","after_vowel","both","әже+ме=әже ме?","бабушка?","Дауысты дыбыстан кейін","interrogative particle"
"ба","interrogative","back","сұрақ белгісі","вопросительная частица","after_voiced_consonant","both","дос+ба=дос па?","друг?","Үнді және ұяң дауыссыздардан кейін","interrogative particle"
"бе","interrogative","front","сұрақ белгісі","вопросительная частица","after_voiced_consonant","both","көл+бе=көл ме?","озеро?","Үнді және ұяң дауыссыздардан кейін","interrogative particle"
"па","interrogative","back","сұрақ белгісі","вопросительная частица","after_unvoiced_consonant","both","мектеп+па=мектеп пе?","школа?","Қатаң дауыссыздардан кейін","interrogative particle"
"пе","interrogative","front","сұрақ белгісі","вопросительная частица","after_unvoiced_consonant","both","сөз+пе=сөз бе?","слово?","Қатаң дауыссыздардан кейін","interrogative particle"
"ы","possessive1","back","менің","мой","after_consonant","n","бала+ы=баласы?","ребенок?","1-жақ тәуелдік жалғау","мой"
"і","possessive1","front","менің","мой","after_consonant","n","көл+і=көлі?","озеро?","1-жақ тәуелдік жалғау","мой"
"м","possessive1","back","менің","мой","after_vowel","n","ата+м=атам","мой отец","1-жақ, дауыстыдан кейін","мой"
"м","possessive1","front","менің","мой","after_vowel","n","әже+м=әжем","моя бабушка","1-жақ, дауыстыдан кейін","мой"
"ың","possessive2","back","сенің","твой","after_consonant","n","бала+ың=балаң","твой ребенок","2-жақ, дауыссыздан кейін","твой"
"ің","possessive2","front","сенің","твой","after_consonant","n","көл+ің=көлің","твое озеро","2-жақ, дауыссыздан кейін","твой"
"ң","possessive2","back","сенің","твой","after_vowel","n","ата+ң=атаң","твой отец","2-жақ, дауыстыдан кейін","твой"
"ң","possessive2","front","сенің","твой","after_vowel","n","әже+ң=әжең","твоя бабушка","2-жақ, дауыстыдан кейін","твой"
"ы","possessive3","back","оның","его/её","after_consonant","n","бала+ы=баласы","его ребенок","3-жақ, дауыссыздан кейін","его/её"
"і","possessive3","front","оның","его/её","after_consonant","n","көл+і=көлі","его озеро","3-жақ, дауыссыздан кейін","его/её"
"сы","possessive3","back","оның","его/её","after_vowel","n","ата+сы=атасы","его отец","3-жақ, дауыстыдан кейін","его/её"
"сі","possessive3","front","оның","его/её","after_vowel","n","әже+сі=әжесі","её бабушка","3-жақ, дауыстыдан кейін","его/её"
"ымыз","possessive1p","back","біздің","наш","after_consonant","n","бала+ымыз=баламыз","наш ребенок","1-жақ көпше, дауыссыздан кейін","наш"
"іміз","possessive1p","front","біздің","наш","after_consonant","n","көл+іміз=көліміз","наше озеро","1-жақ көпше, дауыссыздан кейін","наш"
"мыз","possessive1p","back","біздің","наш","after_vowel","n","ата+мыз=атамыз","наш отец","1-жақ көпше, дауыстыдан кейін","наш"
"міз","possessive1p","front","біздің","наш","after_vowel","n","әже+міз=әжеміз","наша бабушка","1-жақ көпше, дауыстыдан кейін","наш"
"ың","possessive2p","back","сендердің","ваш","after_consonant","n","бала+ың=балаң","ваш ребенок","2-жақ көпше, дауыссыздан кейін","ваш"
"ің","possessive2p","front","сендердің","ваш","after_consonant","n","көл+ің=көлің","ваше озеро","2-жақ көпше, дауыссыздан кейін","ваш"
"ң","possessive2p","back","сендердің","ваш","after_vowel","n","ата+ң=атаң","ваш отец","2-жақ көпше, дауыстыдан кейін","ваш"
"ң","possessive2p","front","сендердің","ваш","after_vowel","n","әже+ң=әжең","ваша бабушка","2-жақ көпше, дауыстыдан кейін","ваш"
"ы","possessive3p","back","олардың","их","after_consonant","n","бала+ы=баласы","их ребенок","3-жақ көпше, дауыссыздан кейін","их"
"і","possessive3p","front","олардың","их","after_consonant","n","көл+і=көлі","их озеро","3-жақ көпше, дауыссыздан кейін","их"
"сы","possessive3p","back","олардың","их","after_vowel","n","ата+сы=атасы","их отец","3-жақ көпше, дауыстыдан кейін","их"
"сі","possessive3p","front","олардың","их","after_vowel","n","әже+сі=әжесі","их бабушка","3-жақ көпше, дауыстыдан кейін","их"
"ған","past_participle","back","өткен шақ есімше","причастие прош.вр.","after_vowel","v","оқы+ған=оқыған","читавший","Есімше тудырушы жұрнақ","причастие прош.вр."
"ген","past_participle","front","өткен шақ есімше","причастие прош.вр.","after_vowel","v","кел+ген=келген","пришедший","Есімше тудырушы жұрнақ","причастие прош.вр."
"қан","past_participle","back","өткен шақ есімше","причастие прош.вр.","after_unvoiced_consonant","v","жат+қан=жатқан","лежавший","Есімше тудырушы жұрнақ","причастие прош.вр."
"кен","past_participle","front","өткен шақ есімше","причастие прош.вр.","after_unvoiced_consonant","v","жет+кен=жеткен","достигший","Есімше тудырушы жұрнақ","причастие прош.вр."
"а","imperative","back","бұйрық рай","повелительное накл.","after_consonant","v","бар+а=бар","иди","Жекеше 2-жақ","повелительное накл."
"е","imperative","front","бұйрық рай","повелительное накл.","after_consonant","v","кел+е=кел","приходи","Жекеше 2-жақ","повелительное накл."
"й","imperative","back","бұйрық рай","повелительное накл.","after_vowel","v","оқы+й=оқы","читай","Жекеше 2-жақ","повелительное накл."
"й","imperative","front","бұйрық рай","повелительное накл.","after_vowel","v","іш+е=іш","пей","Жекеше 2-жақ","повелительное накл."
"ыңыз","imperative_polite","back","бұйрық рай (сыпайы)","повелительное накл. (вежл.)","after_consonant","v","бар+ыңыз=барыңыз","идите","Сыпайы түрі","повелительное накл. (вежл.)"
"іңіз","imperative_polite","front","бұйрық рай (сыпайы)","повелительное накл. (вежл.)","after_consonant","v","кел+іңіз=келіңіз","приходите","Сыпайы түрі","повелительное накл. (вежл.)"
"ңыз","imperative_polite","back","бұйрық рай (сыпайы)","повелительное накл. (вежл.)","after_vowel","v","оқы+ңыз=оқыңыз","читайте","Сыпайы түрі","повелительное накл. (вежл.)"
"ңіз","imperative_polite","front","бұйрық рай (сыпайы)","повелительное накл. (вежл.)","after_vowel","v","іш+іңіз=ішіңіз","пейте","Сыпайы түрі","повелительное накл. (вежл.)"
"ыңдар","imperative_plural","back","бұйрық рай (көпше)","повелительное накл. (мн.ч.)","after_consonant","v","бар+ыңдар=барыңдар","идите (вы все)","Көпше түрі","повелительное накл. (мн.ч.)"
"іңдер","imperative_plural","front","бұйрық рай (көпше)","повелительное накл. (мн.ч.)","after_consonant","v","кел+іңдер=келіңдер","приходите (вы все)","Көпше түрі","повелительное накл. (мн.ч.)"
"ңдар","imperative_plural","back","бұйрық рай (көпше)","повелительное накл. (мн.ч.)","after_vowel","v","оқы+ңдар=оқыңдар","читайте (вы все)","Көпше түрі","повелительное накл. (мн.ч.)"
"ңдер","imperative_plural","front","бұйрық рай (көпше)","повелительное накл. (мн.ч.)","after_vowel","v","іш+іңдер=ішіңдер","пейте (вы все)","Көпше түрі","повелительное накл. (мн.ч.)"
"у","gerund","back","тұйық етістік","инфинитив","after_consonant","v","бар+у=бару","идти","Тұйық етістік","инфинитив"
"у","gerund","front","тұйық етістік","инфинитив","after_consonant","v","кел+у=келу","приходить","Тұйық етістік","инфинитив"
"ю","gerund","back","тұйық етістік","инфинитив","after_vowel","v","оқы+ю=оқу","читать","Тұйық етістік","инфинитив"
"ю","gerund","front","тұйық етістік","инфинитив","after_vowel","v","іш+у=ішу","пить","Тұйық етістік","инфинитив"
"ды","past_tense","back","өткен шақ (жедел)","прош.вр. (очевидное)","after_vowel","v","оқы+ды=оқыды","читал","Жедел өткен шақ","прош.вр. (очевидное)"
"ді","past_tense","front","өткен шақ (жедел)","прош.вр. (очевидное)","after_vowel","v","кел+ді=келді","пришел","Жедел өткен шақ","прош.вр. (очевидное)"
"ты","past_tense","back","өткен шақ (жедел)","прош.вр. (очевидное)","after_unvoiced_consonant","v","жат+ты=жатты","лежал","Жедел өткен шақ","прош.вр. (очевидное)"
"ті","past_tense","front","өткен шақ (жедел)","прош.вр. (очевидное)","after_unvoiced_consonant","v","жет+ті=жетті","достиг","Жедел өткен шақ","прош.вр. (очевидное)"
"а","future_tense","back","ауыспалы келер шақ","будущее время","after_consonant","v","бар+а=барады","пойдет","Ауыспалы келер шақ","будущее время"
"е","future_tense","front","ауыспалы келер шақ","будущее время","after_consonant","v","кел+е=келеді","придет","Ауыспалы келер шақ","будущее время"
"й","future_tense","back","ауыспалы келер шақ","будущее время","after_vowel","v","оқы+й=оқиды","будет читать","Ауыспалы келер шақ","будущее время"
"й","future_tense","front","ауыспалы келер шақ","будущее время","after_vowel","v","іш+е=ішеді","будет пить","Ауыспалы келер шақ","будущее время"
"ма","negative","back","болымсыз етістік","отрицание глагола","after_consonant","v","бар+ма=барма","не идти","Етістіктің болымсыз түрі","отрицание глагола"
"ме","negative","front","болымсыз етістік","отрицание глагола","after_consonant","v","кел+ме=келме","не приходить","Етістіктің болымсыз түрі","отрицание глагола"
"ба","negative","back","болымсыз етістік","отрицание глагола","after_voiced_consonant","v","жаз+ба=жазба","не писать","Етістіктің болымсыз түрі","отрицание глагола"
"бе","negative","front","болымсыз етістік","отрицание глагола","after_voiced_consonant","v","көр+бе=көрме","не видеть","Етістіктің болымсыз түрі","отрицание глагола"
"па","negative","back","болымсыз етістік","отрицание глагола","after_unvoiced_consonant","v","жат+па=жатпа","не лежать","Етістіктің болымсыз түрі","отрицание глагола"
"пе","negative","front","болымсыз етістік","отрицание глагола","after_unvoiced_consonant","v","жет+пе=жетпе","не достигать","Етістіктің болымсыз түрі","отрицание глагола"
"шы","optative","back","тілек рай","желательное накл.","after_vowel","v","бар+шы=баршы","пойди-ка","Тілек рай","желательное накл."
"ші","optative","front","тілек рай","желательное накл.","after_vowel","v","кел+ші=келші","приди-ка","Тілек рай","желательное накл."
"лық","derivational_noun","back","зат есім тудырушы","образует сущ.","after_vowel","adj","жақсы+лық=жақсылық","добро","Сын есімнен зат есім тудырады","образует сущ."
"лік","derivational_noun","front","зат есім тудырушы","образует сущ.","after_vowel","adj","көркем+лік=көркемдік","красота","Сын есімнен зат есім тудырады","образует сущ."
"шы","derivational_noun","back","зат есім тудырушы (кәсіп)","образует сущ. (профессия)","after_vowel","n","жұмыс+шы=жұмысшы","рабочий","Кәсіп иесі","образует сущ. (профессия)"
"ші","derivational_noun","front","зат есім тудырушы (кәсіп)","образует сущ. (профессия)","after_vowel","n","оқу+шы=оқушы","ученик","Кәсіп иесі","образует сущ. (профессия)"
"дай","comparative","back","теңеу","сравнительная степень","after_vowel","both","ата+дай=атадай","как отец","Теңеу жалғауы","сравнительная степень"
"дей","comparative","front","теңеу","сравнительная степень","after_vowel","both","әже+дей=әжедей","как бабушка","Теңеу жалғауы","сравнительная степень"
"лай","comparative","back","теңеу","сравнительная степень","after_consonant","both","бала+лай=баладай","как ребенок","Теңеу жалғауы","сравнительная степень"
"лей","comparative","front","теңеу","сравнительная степень","after_consonant","both","көл+лей=көлдей","как озеро","Теңеу жалғауы","сравнительная степень"
"рақ","comparative_adj","back","салыстырмалы шырай","сравнительная степень прил.","after_vowel","adj","жақсы+рақ=жақсырақ","лучше","Сын есімнің салыстырмалы шырайы","сравнительная степень прил."
"рек","comparative_adj","front","салыстырмалы шырай","сравнительная степень прил.","after_vowel","adj","әдемі+рек=әдемірек","красивее","Сын есімнің салыстырмалы шырайы","сравнительная степень прил."
"ырақ","comparative_adj","back","салыстырмалы шырай","сравнительная степень прил.","after_consonant","adj","үлкен+ірек=үлкенірек","побольше","Сын есімнің салыстырмалы шырайы","сравнительная степень прил."
"ірек","comparative_adj","front","салыстырмалы шырай","сравнительная степень прил.","after_consonant","adj","кіші+ірек=кішірек","поменьше","Сын есімнің салыстырмалы шырайы","сравнительная степень прил."
"мен","comitative","back","біргелік","совместный падеж","after_vowel","n","ата+мен=атамен","с отцом","Біргелік жалғау","совместный падеж"
"мен","comitative","front","біргелік","совместный падеж","after_vowel","n","әже+мен=әжемен","с бабушкой","Біргелік жалғау","совместный падеж"
"сыз","privative","back","жоқтық","отсутствие","after_vowel","n","ата+сыз=атасыз","без отца","Қазақ тіліндегі 'без' деген мағына","отсутствие"
"сіз","privative","front","жоқтық","отсутствие","after_vowel","n","әже+сіз=әжесіз","без бабушки","Қазақ тіліндегі 'без' деген мағына","отсутствие"
"сыз","privative","back","жоқтық","отсутствие","after_consonant","n","бала+сыз=баласыз","без ребенка","Қазақ тіліндегі 'без' деген мағына","отсутствие"
"сіз","privative","front","жоқтық","отсутствие","after_consonant","n","көл+сіз=көлсіз","без озера","Қазақ тіліндегі 'без' деген мағына","отсутствие"
