word,root,affixes,meaning_kz,meaning_ru,pos,structure
ата,ата,,ата,дедушка,n,root
аталар,ата,лар,аталар,дедушки,n,root+plural
атаның,ата,ның,атаның,дедушки (принадлежность),n,root+genitive
атаға,ата,ға,атаға,дедушке,n,root+dative
атаны,ата,ны,атаны,дедушку,n,root+accusative
атада,ата,да,атада,у дедушки,n,root+locative
атадан,ата,дан,атадан,от дедушки,n,root+ablative
атамен,ата,мен,атамен,с дедушкой,n,root+instrumental
атам,ата,м,менің атам,мой дедушка,n,root+possessive1
атаң,ата,ң,сенің атаң,твой дедушка,n,root+possessive2
атасы,ата,сы,оның атасы,его дедушка,n,root+possessive3
атамыз,ата,мыз,біздің атамыз,наш дедушка,n,root+possessive1p
аталары,ата,лары,олардың аталары,их дедушки,n,root+plural+possessive3
аталарың,ата,ларың,сендердің аталарың,ваши дедушки,n,root+plural+possessive2
аталарымыз,ата,ларымыз,біздің аталарымыз,наши дедушки,n,root+plural+possessive1p
аталарға,ата,ларға,аталарға,дедушкам,n,root+plural+dative
аталардан,ата,лардан,аталардан,от дедушек,n,root+plural+ablative
аталармен,ата,лармен,аталармен,с дедушками,n,root+plural+instrumental
аталарда,ата,ларда,аталарда,у дедушек,n,root+plural+locative
аталардың,ата,лардың,аталардың,дедушек (принадлежность),n,root+plural+genitive
бала,бала,,бала,ребенок,n,root
балалар,бала,лар,балалар,дети,n,root+plural
баланың,бала,ның,баланың,ребенка,n,root+genitive
балаға,бала,ға,балаға,ребенку,n,root+dative
баланы,бала,ны,баланы,ребенка (вин.п),n,root+accusative
балада,бала,да,балада,у ребенка,n,root+locative
баладан,бала,дан,баладан,от ребенка,n,root+ablative
баламен,бала,мен,баламен,с ребенком,n,root+instrumental
балам,бала,м,менің балам,мой ребенок,n,root+possessive1
балаң,бала,ң,сенің балаң,твой ребенок,n,root+possessive2
баласы,бала,сы,оның баласы,его ребенок,n,root+possessive3
баламыз,бала,мыз,біздің баламыз,наш ребенок,n,root+possessive1p
балалары,бала,лары,олардың балалары,их дети,n,root+plural+possessive3
балаларың,бала,ларың,сендердің балаларың,ваши дети,n,root+plural+possessive2
балаларымыз,бала,ларымыз,біздің балаларымыз,наши дети,n,root+plural+possessive1p
балаларға,бала,ларға,балаларға,детям,n,root+plural+dative
балалардан,бала,лардан,балалардан,от детей,n,root+plural+ablative
балалармен,бала,лармен,балалармен,с детьми,n,root+plural+instrumental
балаларда,бала,ларда,балаларда,у детей,n,root+plural+locative
балалардың,бала,лардың,балалардың,детей (принадлежность),n,root+plural+genitive
үй,үй,,үй,дом,n,root
үйлер,үй,лер,үйлер,дома,n,root+plural
үйдің,үй,дің,үйдің,дома (принадлежность),n,root+genitive
үйге,үй,ге,үйге,дому,n,root+dative
үйді,үй,ді,үйді,дом (вин.п),n,root+accusative
үйде,үй,де,үйде,в доме,n,root+locative
үйден,үй,ден,үйден,из дома,n,root+ablative
үймен,үй,мен,үймен,с домом,n,root+instrumental
үйім,үй,ім,менің үйім,мой дом,n,root+possessive1
үйің,үй,ің,сенің үйің,твой дом,n,root+possessive2
үйі,үй,і,оның үйі,его дом,n,root+possessive3
үйіміз,үй,іміз,біздің үйіміз,наш дом,n,root+possessive1p
үйлері,үй,лері,олардың үйлері,их дома,n,root+plural+possessive3
үйлерің,үй,лерің,сендердің үйлерің,ваши дома,n,root+plural+possessive2
үйлеріміз,үй,леріміз,біздің үйлеріміз,наши дома,n,root+plural+possessive1p
үйлерге,үй,лерге,үйлерге,домам,n,root+plural+dative
үйлерден,үй,лерден,үйлерден,из домов,n,root+plural+ablative
үйлермен,үй,лермен,үйлермен,с домами,n,root+plural+instrumental
үйлерде,үй,лерде,үйлерде,в домах,n,root+plural+locative
үйлердің,үй,лердің,үйлердің,домов (принадлежность),n,root+plural+genitive
мектеп,мектеп,,мектеп,школа,n,root
мектептер,мектеп,тер,мектептер,школы,n,root+plural
мектептің,мектеп,тің,мектептің,школы (принадлежность),n,root+genitive
мектепке,мектеп,ке,мектепке,школе,n,root+dative
мектепті,мектеп,ті,мектепті,школу (вин.п),n,root+accusative
мектепте,мектеп,те,мектепте,в школе,n,root+locative
мектептен,мектеп,тен,мектептен,из школы,n,root+ablative
мектеппен,мектеп,пен,мектеппен,со школой,n,root+instrumental
мектебім,мектеп,ім,менің мектебім,моя школа,n,root+possessive1
мектебің,мектеп,ің,сенің мектебің,твоя школа,n,root+possessive2
мектебі,мектеп,і,оның мектебі,его школа,n,root+possessive3
мектебіміз,мектеп,іміз,біздің мектебіміз,наша школа,n,root+possessive1p
мектептері,мектеп,тері,олардың мектептері,их школы,n,root+plural+possessive3
мектептерің,мектеп,терің,сендердің мектептерің,ваши школы,n,root+plural+possessive2
мектептеріміз,мектеп,теріміз,біздің мектептеріміз,наши школы,n,root+plural+possessive1p
мектептерге,мектеп,терге,мектептерге,школам,n,root+plural+dative
мектептерден,мектеп,терден,мектептерден,из школ,n,root+plural+ablative
оқушы,оқу,шы,оқушы,ученик,n,root+derivational
оқушылар,оқу,шылар,оқушылар,ученики,n,root+derivational+plural
оқушының,оқу,шының,оқушының,ученика,n,root+derivational+genitive
оқушыға,оқу,шыға,оқушыға,ученику,n,root+derivational+dative
оқушыны,оқу,шыны,оқушыны,ученика (вин.п),n,root+derivational+accusative
оқушыда,оқу,шыда,оқушыда,у ученика,n,root+derivational+locative
оқушыдан,оқу,шыдан,оқушыдан,от ученика,n,root+derivational+ablative
оқушымен,оқу,шымен,оқушымен,с учеником,n,root+derivational+instrumental
оқушым,оқу,шым,менің оқушым,мой ученик,n,root+derivational+possessive1
оқушың,оқу,шың,сенің оқушың,твой ученик,n,root+derivational+possessive2
оқушысы,оқу,шысы,оның оқушысы,его ученик,n,root+derivational+possessive3
оқушылары,оқу,шылары,олардың оқушылары,их ученики,n,root+derivational+plural+possessive3
оқушыларға,оқу,шыларға,оқушыларға,ученикам,n,root+derivational+plural+dative
жақсы,жақсы,,жақсы,хороший,adj,root
жақсылық,жақсы,лық,жақсылық,добро,n,root+derivational
жақсылықты,жақсы,лықты,жақсылықты,добро (вин.п),n,root+derivational+accusative
жақсылықтан,жақсы,лықтан,жақсылықтан,от добра,n,root+derivational+ablative
жақсырақ,жақсы,рақ,жақсырақ,лучше,adj,root+derivational
жақсылар,жақсы,лар,жақсылар,хорошие (люди),adj,root+plural
жақсының,жақсы,ның,жақсының,хорошего (принадл),adj,root+genitive
жақсыға,жақсы,ға,жақсыға,хорошему,adj,root+dative
жақсыда,жақсы,да,жақсыда,у хорошего,adj,root+locative
жақсыдан,жақсы,дан,жақсыдан,от хорошего,adj,root+ablative
жақсымен,жақсы,мен,жақсымен,с хорошим,adj,root+instrumental
жақсымын,жақсы,мын,мен жақсымын,я хороший,adj,root+copula
жақсысың,жақсы,сың,сен жақсысың,ты хороший,adj,root+copula
жақсы,жақсы,,ол жақсы,он хороший,adj,root+copula
жақсымыз,жақсы,мыз,біз жақсымыз,мы хорошие,adj,root+copula
жақсысыңдар,жақсы,сыңдар,сендер жақсысыңдар,вы хорошие,adj,root+copula
жақсылар,жақсы,лар,олар жақсылар,они хорошие,adj,root+plural+copula
бар,бар,,бар,есть,v,root
бару,бар,у,бару,идти,v,root+gerund
барды,бар,ды,барды,пошел,v,root+past
барады,бар,ады,барады,идет (сейчас),v,root+present
барар,бар,ар,барар,пойдет (возможно),v,root+future
барма,бар,ма,барма,не идти,v,root+negative
бармады,бар,мады,бармады,не пошел,v,root+negative+past
бармайды,бар,майды,бармайды,не идет,v,root+negative+present
барғыз,бар,ғыз,барғыз,заставить идти,v,root+causative
барғызды,бар,ғызды,барғызды,заставил идти,v,root+causative+past
барған,бар,ған,барған,пошедший (прич),v,root+participle
барғанда,бар,ғанда,барғанда,когда пошел,v,root+participle+locative
барғаннан,бар,ғаннан,барғаннан,после того как пошел,v,root+participle+ablative
кел,кел,,кел,приходить,v,root
келу,кел,у,келу,приходить (инф),v,root+gerund
келді,кел,ді,келді,пришел,v,root+past
келеді,кел,еді,келеді,идет (сейчас),v,root+present
келер,кел,ер,келер,придет (возможно),v,root+future
келме,кел,ме,келме,не приходить,v,root+negative
келмеді,кел,меді,келмеді,не пришел,v,root+negative+past
келмейді,кел,мейді,келмейді,не идет,v,root+negative+present
келгіз,кел,гіз,келгіз,заставить прийти,v,root+causative
келгізді,кел,гізді,келгізді,заставил прийти,v,root+causative+past
келген,кел,ген,келген,пришедший (прич),v,root+participle
келгенде,кел,генде,келгенде,когда пришел,v,root+participle+locative
келгеннен,кел,геннен,келгеннен,после того как пришел,v,root+participle+ablative