"root","pos","meaning_kz","meaning_ru","harmony","meaning_en"
"кітап","n","кітап","книга","back","книга"
"бала","n","бала","ребенок","back","ребенок"
"үй","n","үй","дом","front","дом"
"әже","n","әже","бабушка","front","бабушка"
"ата","n","ата","дедушка","back","дедушка"
"мектеп","n","мектеп","школа","back","школа"
"оқушы","n","оқушы","ученик","back","ученик"
"мұғалім","n","мұғалім","учитель","front","учитель"
"дос","n","дос","друг","back","друг"
"қала","n","қала","город","back","город"
"ауыл","n","ауыл","деревня","back","деревня"
"көше","n","көше","улица","front","улица"
"көл","n","көл","озеро","front","озеро"
"тау","n","тау","гора","back","гора"
"өзен","n","өзен","река","front","река"
"орман","n","орман","лес","back","лес"
"бақ","n","бақ","сад","back","сад"
"бау","n","бау","сарай","back","сарай"
"жер","n","жер","земля","back","земля"
"су","n","су","вода","back","вода"
"ауа","n","ауа","воздух","back","воздух"
"от","n","от","огонь","back","огонь"
"жарық","n","жарық","свет","back","свет"
"күн","n","күн","солнце","front","солнце"
"ай","n","ай","луна","back","луна"
"жұлдыз","n","жұлдыз","звезда","back","звезда"
"аспан","n","аспан","небо","back","небо"
"бұлт","n","бұлт","облако","back","облако"
"жаңбыр","n","жаңбыр","дождь","back","дождь"
"қар","n","қар","снег","back","снег"
"жел","n","жел","ветер","back","ветер"
"дауыл","n","дауыл","буря","back","буря"
"найзағай","n","найзағай","молния","back","молния"
"кемпірқосақ","n","кемпірқосақ","радуга","front","радуга"
"адам","n","адам","человек","back","человек"
"ер","n","ер","мужчина","back","мужчина"
"әйел","n","әйел","женщина","front","женщина"
"балақай","n","балақай","малыш","back","малыш"
"жігіт","n","жігіт","парень","front","парень"
"қыз","n","қыз","девушка","back","девушка"
"бойжеткен","n","бойжеткен","девушка","back","девушка"
"сәби","n","сәби","младенец","front","младенец"
"нәресте","n","нәресте","младенец","front","младенец"
"ана","n","ана","мать","back","мать"
"әке","n","әке","отец","front","отец"
"шеше","n","шеше","мама","front","мама"
"тәте","n","тәте","тетя","front","тетя"
"апа","n","апа","старшая сестра","back","старшая сестра"
"қарындас","n","қарындас","младшая сестра","back","младшая сестра"
"іні","n","іні","младший брат","front","младший брат"
"аға","n","аға","старший брат","back","старший брат"
"жиен","n","жиен","племянник","front","племянник"
"немере","n","немере","внук","front","внук"
"шөбере","n","шөбере","правнук","front","правнук"
"ата-ана","n","ата-ана","родители","back","родители"
"отбасы","n","отбасы","семья","back","семья"
"жанұя","n","жанұя","семья","back","семья"
"тұыс","n","тұыс","родственник","back","родственник"
"туған","n","туған","родной","back","родной"
"дос-жаран","n","дос-жаран","друзья","back","друзья"
"көрші","n","көрші","сосед","front","сосед"
"таныс","n","таныс","знакомый","back","знакомый"
"бөтен","n","бөтен","чужой","front","чужой"
"қонақ","n","қонақ","гость","back","гость"
"мейман","n","мейман","гость","front","гость"
"үй иесі","n","үй иесі","хозяин дома","front","хозяин дома"
"қызметкер","n","қызметкер","работник","back","работник"
"жұмысшы","n","жұмысшы","рабочий","back","рабочий"
"дәрігер","n","дәрігер","врач","front","врач"
"емші","n","емші","врач","front","врач"
"мейірбике","n","мейірбике","медсестра","front","медсестра"
"инженер","n","инженер","инженер","front","инженер"
"мұнайшы","n","мұнайшы","нефтяник","back","нефтяник"
"егінші","n","егінші","земледелец","front","земледелец"
"диқан","n","диқан","крестьянин","back","крестьянин"
"шаруа","n","шаруа","крестьянин","back","крестьянин"
"малшы","n","малшы","пастух","back","пастух"
"бақташы","n","бақташы","пастух","back","пастух"
"шопан","n","шопан","чабан","back","чабан"
"жазушы","n","жазушы","писатель","back","писатель"
"ақын","n","ақын","поэт","back","поэт"
"жырау","n","жырау","певец","back","певец"
"журналист","n","журналист","журналист","back","журналист"
"тілші","n","тілші","корреспондент","front","корреспондент"
"фотограф","n","фотограф","фотограф","back","фотограф"
"суретші","n","суретші","художник","front","художник"
"мүсінші","n","мүсінші","скульптор","front","скульптор"
"сәулетші","n","сәулетші","архитектор","front","архитектор"
"құрылысшы","n","құрылысшы","строитель","back","строитель"
"жөндеуші","n","жөндеуші","ремонтник","front","ремонтник"
"жүргізуші","n","жүргізуші","водитель","front","водитель"
"шафер","n","шафер","водитель","back","водитель"
"ұшқыш","n","ұшқыш","летчик","back","летчик"
"машинист","n","машинист","машинист","back","машинист"
"теміржолшы","n","теміржолшы","железнодорожник","back","железнодорожник"
"теңізші","n","теңізші","моряк","front","моряк"
"балықшы","n","балықшы","рыбак","back","рыбак"
"аңшы","n","аңшы","охотник","back","охотник"
"орманшы","n","орманшы","лесник","back","лесник"
"бағбан","n","бағбан","садовод","back","садовод"
"гүлші","n","гүлші","цветовод","front","цветовод"
"көкөнісші","n","көкөнісші","овощевод","front","овощевод"
"фермер","n","фермер","фермер","front","фермер"
"сатушы","n","сатушы","продавец","back","продавец"
"саудагер","n","саудагер","торговец","back","торговец"
"кәсіпкер","n","кәсіпкер","предприниматель","front","предприниматель"
"бизнесмен","n","бизнесмен","бизнесмен","front","бизнесмен"
"экономист","n","экономист","экономист","front","экономист"
"бухгалтер","n","бухгалтер","бухгалтер","back","бухгалтер"
"есепші","n","есепші","счетовод","front","счетовод"
"банкир","n","банкир","банкир","back","банкир"
"заңгер","n","заңгер","юрист","back","юрист"
"адвокат","n","адвокат","адвокат","back","адвокат"
"судья","n","судья","судья","back","судья"
"прокурор","n","прокурор","прокурор","back","прокурор"
"полицей","n","полицей","полицейский","front","полицейский"
"шабарман","n","шабарман","курьер","back","курьер"
"почтальон","n","почтальон","почтальон","back","почтальон"
"байланысшы","n","байланысшы","связист","back","связист"
"компьютерші","n","компьютерші","программист","front","программист"
"бағдарламашы","n","бағдарламашы","программист","back","программист"
"сайт жасаушы","n","сайт жасаушы","веб-разработчик","back","веб-разработчик"
"админ","n","админ","админ","back","админ"
"менеджер","n","менеджер","менеджер","front","менеджер"
"директор","n","директор","директор","back","директор"
"бастық","n","бастық","начальник","back","начальник"
"жетекші","n","жетекші","руководитель","front","руководитель"
"көшбасшы","n","көшбасшы","лидер","front","лидер"
"президент","n","президент","президент","front","президент"
"министр","n","министр","министр","front","министр"
"депутат","n","депутат","депутат","back","депутат"
"әкім","n","әкім","аким","front","аким"
"мэр","n","мэр","мэр","front","мэр"
"аудан басшысы","n","аудан басшысы","глава района","back","глава района"
"облыс басшысы","n","облыс басшысы","глава области","back","глава области"
"ел басшысы","n","ел басшысы","глава государства","front","глава государства"
"хан","n","хан","хан","back","хан"
"сұлтан","n","сұлтан","султан","back","султан"
"патша","n","патша","царь","back","царь"
"би","n","би","бий","back","бий"
"төре","n","төре","бий","front","бий"
"болыс","n","болыс","волостной","back","волостной"
"старшын","n","старшын","старшина","back","старшина"
"жүзбасы","n","жүзбасы","сотник","back","сотник"
"мыңбасы","n","мыңбасы","тысячник","back","тысячник"
"қолбасшы","n","қолбасшы","военачальник","back","военачальник"
"сарбаз","n","сарбаз","воин","back","воин"
"жауынгер","n","жауынгер","боец","back","боец"
"солдат","n","солдат","солдат","back","солдат"
"офицер","n","офицер","офицер","back","офицер"
"генерал","n","генерал","генерал","back","генерал"
"батыр","n","батыр","герой","back","герой"
"ерлі","n","ерлі","героический","front","героический"
"батыл","n","батыл","смелый","back","смелый"
"қайсар","n","қайсар","упорный","back","упорный"
"табанды","n","табанды","настойчивый","back","настойчивый"
"жігерлі","n","жігерлі","энергичный","front","энергичный"
"қайратты","n","қайратты","деятельный","back","деятельный"
"енбекқор","n","енбекқор","трудолюбивый","back","трудолюбивый"
"еңбекші","n","еңбекші","труженик","front","труженик"
"зейнеткер","n","зейнеткер","пенсионер","front","пенсионер"
"қарт","n","қарт","старик","back","старик"
"кәрі","n","кәрі","старый","front","старый"
"жас","n","жас","молодой","back","молодой"
"жасеспірім","n","жасеспірім","подросток","back","подросток"
"өрен","n","өрен","подросток","front","подросток"
"жеткіншек","n","жеткіншек","подросток","front","подросток"
"бозбала","n","бозбала","юноша","back","юноша"
"бойжеткен","n","бойжеткен","девушка","back","девушка"
"қыз-келіншек","n","қыз-келіншек","девушки","back","девушки"
"келін","n","келін","невестка","front","невестка"
"күйеу","n","күйеу","зять","front","зять"
"жұбай","n","жұбай","супруг","back","супруг"
"жар","n","жар","супруг","back","супруг"
"қосағы","n","қосағы","супруг","back","супруг"
"ерлі-зайыпты","n","ерлі-зайыпты","супруги","back","супруги"
"отағасы","n","отағасы","глава семьи","back","глава семьи"
"үйлену тойы","n","үйлену тойы","свадьба","front","свадьба"
"неке","n","неке","брак","front","брак"
"отбасылық","n","отбасылық","семейный","back","семейный"
"бақытты","n","бақытты","счастливый","back","счастливый"
"бақыт","n","бақыт","счастье","back","счастье"
"қуаныш","n","қуаныш","радость","back","радость"
"шаттық","n","шаттық","радость","back","радость"
"мұң","n","мұң","печаль","back","печаль"
"қайғы","n","қайғы","горе","back","горе"
"реніш","n","реніш","обида","front","обида"
"наразылық","n","наразылық","недовольство","back","недовольство"
"кек","n","кек","месть","front","месть"
"достық","n","достық","дружба","back","дружба"
"татулық","n","татулық","дружба","back","дружба"
"бірлік","n","бірлік","единство","front","единство"
"ынтымақ","n","ынтымақ","солидарность","back","солидарность"
"табыс","n","табыс","успех","back","успех"
"жетістік","n","жетістік","достижение","front","достижение"
"жеңіс","n","жеңіс","победа","front","победа"
"сәттілік","n","сәттілік","удача","front","удача"
"сый","n","сый","подарок","back","подарок"
"сыйлық","n","сыйлық","подарок","back","подарок"
"тарту","n","тарту","подарок","back","подарок"
"мейрам","n","мейрам","праздник","front","праздник"
"той","n","той","праздник","back","праздник"
"думан","n","думан","веселье","back","веселье"
"кеш","n","кеш","вечер","front","вечер"
"таң","n","таң","утро","back","утро"
"түс","n","түс","полдень","front","полдень"
"бесін","n","бесін","послеполуденное время","front","послеполуденное время"
"екінті","n","екінті","вечер","front","вечер"
"намаздыгер","n","намаздыгер","вечерняя молитва","back","вечерняя молитва"
"құптан","n","құптан","ночная молитва","back","ночная молитва"
"түн","n","түн","ночь","front","ночь"
"түн ортасы","n","түн ортасы","полночь","front","полночь"
"күн бату","n","күн бату","закат","front","закат"
"күн шығу","n","күн шығу","восход","front","восход"
"таңертең","n","таңертең","утром","front","утром"
"таңғы ас","n","таңғы ас","завтрак","back","завтрак"
"түскі ас","n","түскі ас","обед","front","обед"
"кешкі ас","n","кешкі ас","ужин","front","ужин"
"тағам","n","тағам","еда","back","еда"
"ас","n","ас","еда","back","еда"
"нан","n","нан","хлеб","back","хлеб"
"су","n","су","вода","back","вода"
"шай","n","шай","чай","back","чай"
"кофе","n","кофе","кофе","back","кофе"
"сүт","n","сүт","молоко","front","молоко"
"айран","n","айран","айран","back","айран"
"қымыз","n","қымыз","кумыс","back","кумыс"
"шұбат","n","шұбат","шубат","back","шубат"
"ет","n","ет","мясо","front","мясо"
"сүр ет","n","сүр ет","вяленое мясо","front","вяленое мясо"
"қазы","n","қазы","колбаса","back","колбаса"
"шужық","n","шужық","колбаса","back","колбаса"
"қуырдақ","n","қуырдақ","жаркое","back","жаркое"
"палау","n","палау","плов","back","плов"
"күріш","n","күріш","рис","front","рис"
"нан","n","нан","хлеб","back","хлеб"
"тоқаш","n","тоқаш","булка","back","булка"
"бауырсақ","n","бауырсақ","баурсак","back","баурсак"
"шельпек","n","шельпек","лепешка","front","лепешка"
"талқан","n","талқан","толокно","back","толокно"
"жент","n","жент","жент","front","жент"
"ірімшік","n","ірімшік","сыр","front","сыр"
"май","n","май","масло","back","масло"
"сары май","n","сары май","сливочное масло","back","сливочное масло"
"өсімдік майы","n","өсімдік майы","растительное масло","front","растительное масло"
"балық","n","балық","рыба","back","рыба"
"көкөніс","n","көкөніс","овощи","front","овощи"
"көк","n","көк","зелень","front","зелень"
"пияз","n","пияз","лук","back","лук"
"сәбіз","n","сәбіз","морковь","front","морковь"
"картоп","n","картоп","картофель","back","картофель"
"қызанақ","n","қызанақ","помидор","back","помидор"
"қияр","n","қияр","огурец","back","огурец"
"орамжапырақ","n","орамжапырақ","капуста","back","капуста"
"бұрыш","n","бұрыш","перец","back","перец"
"тұз","n","тұз","соль","back","соль"
"қант","n","қант","сахар","back","сахар"
"бал","n","бал","мед","back","мед"
"жеміс","n","жеміс","фрукты","front","фрукты"
"алма","n","алма","яблоко","back","яблоко"
"алмұрт","n","алмұрт","груша","back","груша"
"өрік","n","өрік","абрикос","front","абрикос"
"шабдалы","n","шабдалы","персик","back","персик"
"жүзім","n","жүзім","виноград","front","виноград"
"қарбыз","n","қарбыз","арбуз","back","арбуз"
"қауын","n","қауын","дыня","back","дыня"
"банан","n","банан","банан","back","банан"
"апельсин","n","апельсин","апельсин","back","апельсин"
"лимон","n","лимон","лимон","back","лимон"
"мандарин","n","мандарин","мандарин","back","мандарин"
"ананас","n","ананас","ананас","back","ананас"
"киеви","n","киеви","киви","front","киви"
"жидек","n","жидек","ягода","front","ягода"
"құлпынай","n","құлпынай","клубника","back","клубника"
"таңқурай","n","таңқурай","малина","back","малина"
"қарақат","n","қарақат","смородина","back","смородина"
"шие","n","шие","вишня","front","вишня"
"алша","n","алша","алыча","back","алыча"
"өpік","n","өpік","абрикос","front","абрикос"
"шабдалы","n","шабдалы","персик","back","персик"
"гүл","n","гүл","цветок","front","цветок"
"раушан","n","раушан","роза","back","роза"
"қызғалдақ","n","қызғалдақ","тюльпан","back","тюльпан"
"бәйшешек","n","бәйшешек","подснежник","front","подснежник"
"нарғызгүл","n","нарғызгүл","нарцисс","back","нарцисс"
"жапырақ","n","жапырақ","лист","back","лист"
"ағаш","n","ағаш","дерево","back","дерево"
"терек","n","терек","тополь","front","тополь"
"қайың","n","қайың","береза","back","береза"
"емен","n","емен","дуб","front","дуб"
"шынар","n","шынар","чинара","back","чинара"
"арша","n","арша","арча","back","арча"
"тал","n","тал","ива","back","ива"
"шырша","n","шырша","ель","back","ель"
"қарағай","n","қарағай","сосна","back","сосна"
"самырсын","n","самырсын","пихта","back","пихта"
"шыбық","n","шыбық","прут","back","прут"
"бұтақ","n","бұтақ","ветка","back","ветка"
"тамыр","n","тамыр","корень","back","корень"
"жапырақ","n","жапырақ","лист","back","лист"
"гүлзар","n","гүлзар","цветник","front","цветник"
"бақша","n","бақша","огород","back","огород"
"егіс","n","егіс","посев","front","посев"
"алқап","n","алқап","поляна","back","поляна"
"дала","n","дала","степь","back","степь"
"шөл","n","шөл","пустыня","front","пустыня"
"шөлейт","n","шөлейт","полупустыня","front","полупустыня"
"жайылым","n","жайылым","пастбище","back","пастбище"
"шабындық","n","шабындық","луг","back","луг"
"өңір","n","өңір","край","front","край"
"аймақ","n","аймақ","регион","back","регион"
"өлке","n","өлке","область","front","область"
"ел","n","ел","страна","front","страна"
"мемлекет","n","мемлекет","государство","front","государство"
"отан","n","отан","родина","back","родина"
"туған жер","n","туған жер","родная земля","back","родная земля"
"атамекен","n","атамекен","отчизна","back","отчизна"
"қоныс","n","қоныс","поселение","back","поселение"
"мекен","n","мекен","местожительство","front","местожительство"
"тұрақ","n","тұрақ","стоянка","back","стоянка"
"баспана","n","баспана","жилье","back","жилье"
"тұрғын үй","n","тұрғын үй","жилой дом","back","жилой дом"
"пәтер","n","пәтер","квартира","front","квартира"
"бөлме","n","бөлме","комната","front","комната"
"ас үй","n","ас үй","кухня","back","кухня"
"жатын бөлме","n","жатын бөлме","спальня","back","спальня"
"қонақ бөлме","n","қонақ бөлме","гостиная","back","гостиная"
"балалар бөлмесі","n","балалар бөлмесі","детская","back","детская"
"жуынатын бөлме","n","жуынатын бөлме","ванная","back","ванная"
"дәліз","n","дәліз","коридор","front","коридор"
"кіреберіс","n","кіреберіс","прихожая","front","прихожая"
"балкон","n","балкон","балкон","back","балкон"
"шатыр","n","шатыр","крыша","back","крыша"
"еден","n","еден","пол","front","пол"
"төбе","n","төбе","потолок","front","потолок"
"қабырға","n","қабырға","стена","back","стена"
"есік","n","есік","дверь","front","дверь"
"терезе","n","терезе","окно","front","окно"
"кілт","n","кілт","ключ","front","ключ"
"құлып","n","құлып","замок","back","замок"
"сандық","n","сандық","сундук","back","сундук"
"шкаф","n","шкаф","шкаф","back","шкаф"
"сөре","n","сөре","полка","front","полка"
"үстел","n","үстел","стол","front","стол"
"орындық","n","орындық","стул","back","стул"
"кресло","n","кресло","кресло","front","кресло"
"диван","n","диван","диван","back","диван"
"төсек","n","төсек","кровать","front","кровать"
"жастық","n","жастық","подушка","back","подушка"
"көрпе","n","көрпе","одеяло","front","одеяло"
"матрас","n","матрас","матрас","back","матрас"
"кілем","n","кілем","ковер","front","ковер"
"перде","n","перде","штора","front","штора"
"шам","n","шам","лампа","back","лампа"
"жарық","n","жарық","свет","back","свет"
"электр","n","электр","электричество","front","электричество"
"розетка","n","розетка","розетка","back","розетка"
"ажыратқыш","n","ажыратқыш","выключатель","back","выключатель"
"батарея","n","батарея","батарея","back","батарея"
"радиатор","n","радиатор","радиатор","back","радиатор"
"жылыту","n","жылыту","отопление","back","отопление"
"суыту","n","суыту","охлаждение","back","охлаждение"
"кондиционер","n","кондиционер","кондиционер","back","кондиционер"
"желдеткіш","n","желдеткіш","вентилятор","front","вентилятор"
"пеш","n","пеш","печь","front","печь"
"газ плитасы","n","газ плитасы","газовая плита","back","газовая плита"
"электр плитасы","n","электр плитасы","электроплита","front","электроплита"
"духовка","n","духовка","духовка","back","духовка"
"микротолқынды пеш","n","микротолқынды пеш","микроволновка","back","микроволновка"
"тоңазытқыш","n","тоңазытқыш","холодильник","back","холодильник"
"мұздатқыш","n","мұздатқыш","морозильник","back","морозильник"
"ыдыс жуғыш","n","ыдыс жуғыш","посудомоечная машина","back","посудомоечная машина"
"кір жуғыш","n","кір жуғыш","стиральная машина","front","стиральная машина"
"кептіргіш","n","кептіргіш","сушилка","front","сушилка"
"үтік","n","үтік","утюг","front","утюг"
"пылесос","n","пылесос","пылесос","back","пылесос"
"шаңсорғыш","n","шаңсорғыш","пылесос","back","пылесос"
"теледидар","n","теледидар","телевизор","back","телевизор"
"телефон","n","телефон","телефон","back","телефон"
"компьютер","n","компьютер","компьютер","back","компьютер"
"ноутбук","n","ноутбук","ноутбук","back","ноутбук"
"планшет","n","планшет","планшет","back","планшет"
"смартфон","n","смартфон","смартфон","back","смартфон"
"зарядтағыш","n","зарядтағыш","зарядное устройство","back","зарядное устройство"
"наушник","n","наушник","наушники","back","наушники"
"тыңдағыш","n","тыңдағыш","наушники","back","наушники"
"кабель","n","кабель","кабель","back","кабель"
"адаптер","n","адаптер","адаптер","back","адаптер"
"принтер","n","принтер","принтер","front","принтер"
"сканер","n","сканер","сканер","back","сканер"
"көшіргіш","n","көшіргіш","ксерокс","front","ксерокс"
"факс","n","факс","факс","back","факс"
"қағаз","n","қағаз","бумага","back","бумага"
"қалам","n","қалам","ручка","back","ручка"
"қарындаш","n","қарындаш","карандаш","back","карандаш"
"сызғыш","n","сызғыш","линейка","back","линейка"
"өшіргіш","n","өшіргіш","ластик","front","ластик"
"сызба","n","сызба","чертеж","back","чертеж"
"дәптер","n","дәптер","тетрадь","front","тетрадь"
"кітап","n","кітап","книга","back","книга"
"оқулық","n","оқулық","учебник","back","учебник"
"сөздік","n","сөздік","словарь","front","словарь"
"энциклопедия","n","энциклопедия","энциклопедия","front","энциклопедия"
"журнал","n","журнал","журнал","back","журнал"
"газет","n","газет","газета","back","газета"
"бет","n","бет","страница","front","страница"
"парақ","n","парақ","лист","back","лист"
"мұқаба","n","мұқаба","обложка","back","обложка"
"түптеу","n","түптеу","переплет","front","переплет"
"кітапхана","n","кітапхана","библиотека","back","библиотека"
